StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1861,Q1862,Q867,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q98,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
7/21/17 9:33,7/21/17 9:35,0,71.231.78.129,100,91,1,7/21/17 9:35,R_24hIN8eWxbjDWZ3,,,,,47.78819275,-122.3087006,anonymous,EN,A1N4P4XGQM7NXE,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,nothing in life is fair,4,4,4,4,4,4,i dont know chris,1,its a computer i dont trust it,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,2,5,1,1,2,
7/21/17 9:34,7/21/17 9:36,0,76.14.255.89,100,72,1,7/21/17 9:36,R_1mmiO243HPdavxi,,,,,45.00509644,-122.7832031,anonymous,EN,A18T7E73TNGOKP,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer using data to make answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,it just makes senes 2 me,4,4,5,4,3,5,i feel that way,4,i oculd trust it a little,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,2,3,1,1,4,
7/21/17 9:35,7/21/17 9:36,0,99.60.232.78,100,55,1,7/21/17 9:36,R_1NqSDpY0IaH6Xei,,,,,38.70120239,-90.36699677,anonymous,EN,A37KREDYGDTP4U,"1,2",3,6,,,,,,,,,,,,,4,No opinion,2,2,3,2,3,2,NA,4,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,3,I am not sure,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,2,1,2,2,
7/21/17 9:33,7/21/17 9:36,0,107.77.233.172,100,148,1,7/21/17 9:36,R_2t5av5oGbugkr1s,,,,,33.74899292,-84.38800049,anonymous,EN,A2Z750U1HCWVEE,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,An assessment is an expected and reasonable part of the work process.,3,3,4,5,4,5,It's not exciting being evaluated because it introduces risk to one's job.,4,"I don't know this person, but I trust most people somewhat.",1,3,32,2,5,1,5,4,
7/21/17 9:33,7/21/17 9:36,0,24.113.54.27,100,168,1,7/21/17 9:36,R_3kdIca69q065NSC,,,,,47.54589844,-122.5888977,anonymous,EN,A35P8YSNTQ7OTP,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,i have no idea what the manager is evaluating. wtf is tone of thier calls telling him.,1,1,1,1,1,7,cuz chris doesnt know wtf the manager is doing either,1,far as i can tell may as well call my evaltuion voodoo,1,3,45,2,5,7,5,4,
7/21/17 9:33,7/21/17 9:36,0,173.28.76.172,100,175,1,7/21/17 9:36,R_V53LksMgW6diZTb,,,,,38.56080627,-75.33509827,anonymous,EN,A2XKVB8BRQBL73,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,The manager is scheduling based upon the worker's ability,4,4,4,4,4,4,I don't know Chris so I don't know how he would feel. ,5,I don't know what data points he is using to make the decision. ,1,,,,,,,,,,,,,,,,,,,,,,,,,1,38,1,4,1,5,2,
7/21/17 9:33,7/21/17 9:37,0,185.6.107.58,100,228,1,7/21/17 9:37,R_vuhgVIDss9TKFbz,,,,,44.0572052,17.45080566,anonymous,EN,ATNCWXU09OPI0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7,The manager has the power to schedule Chris when he needs him. The manager checked the availability of employees.,5,5,4,1,1,1,I feel like most people like working in the mornings the most.,6,If he took into consideration the employess schedules and availability then he should be trusted. ,1,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,3,1,5,2,
7/21/17 9:34,7/21/17 9:37,0,73.176.66.160,100,210,1,7/21/17 9:37,R_2A0RPCtktgWbjZx,,,,,40.47340393,-88.99150085,anonymous,EN,A39SX1QZR36L7A,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,the manager gave the algorithm the power to decide the scheduled hours,some type of demand or program for computers to read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"it gives everyone equal hours, not favored ",6,7,7,2,2,1,he gets good hours,6,they can set it to be equal ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,1,3,1,4,2,
7/21/17 9:33,7/21/17 9:37,0,199.0.194.104,100,227,1,7/21/17 9:37,R_21AQ7g02XuHB9eL,,,,,39.49380493,-97.61190033,anonymous,EN,A2OIGST8UL7HJP,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"The manager uses the algorithm, which bases scheduling on availability and business of the coffee shop.",Data-driven analyses that then give solutions.,,,,,,,,,,,,,6,There are no biases to algorithm.  It is when he is available and needed the most.,5,4,4,1,2,2,I would think that Chris was just happy to have a job and didn't really have much of problem either way.,6,It is a sound logic for his algorithm.  ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,2,5,1,3,2,
7/21/17 9:34,7/21/17 9:37,0,71.163.65.147,100,216,1,7/21/17 9:37,R_b30FjevCnJceT4d,,,,,39.08979797,-77.06109619,anonymous,EN,A3HOZA7QXYKN5Y,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"the manager is in person, the algorithm uses data. ",analyzes data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,an algorithm can't capture the soul and character of a person completely. ,5,3,5,5,4,3,i think he has mixed feelings. ,4,an algorithm is useful but not 100 percent accurate. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,1,5,1,4,3,
7/21/17 9:33,7/21/17 9:38,0,128.148.152.172,100,247,1,7/21/17 9:38,R_29uB4mhxRU2S79M,,,,,41.82670593,-71.39769745,anonymous,EN,A263Y9ZPYSSTB9,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathematical program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,AI can detect human tone changes in details ,3,3,3,4,4,4,It decreases the bias towards him. He could make good friend with a person who would evaluate him but he wouldn't be able to persuade the algorithm externally,5,AI can detect small changes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,1,5,4,1,4,
7/21/17 9:33,7/21/17 9:38,0,70.118.253.180,100,249,1,7/21/17 9:38,R_2s0UDaDT3orjmXr,,,,,39.01989746,-94.4641037,anonymous,EN,ALKGANT1CYTZ1,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are basic math that assigns value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"There is no human involvement, therefore there is no room for bias.",4,4,4,3,3,3,I do not see why he would be angry with something that is objective.,6,I would trust an algorithm more than a person to decide my schedule.,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,1,5,1,1,2,
7/21/17 9:34,7/21/17 9:38,0,67.207.12.1,100,234,1,7/21/17 9:38,R_1kY6in8hFyKRKyv,,,,,25.97599792,-97.54199982,anonymous,EN,A2DP3JH66Q96BR,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,The fact that he takes the time to read the resumes and picks the top candidates is a fair thing to everyone. ,6,5,6,3,2,3,He should be happy that the manages is being fair; he has a good chance. ,6,He is making a fair selection. ,1,,,,,,,,,,,,,2,24,1,5,3,5,3,
7/21/17 9:33,7/21/17 9:38,0,24.198.205.208,100,277,1,7/21/17 9:38,R_2Pi2M0kEpZ3x1FG,,,,,44.08450317,-70.16960144,anonymous,EN,A2H41RJTXE9I90,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,7,It was based on an algorithm so there's no human error or bias,6,5,4,1,1,2,He should feel good know he is one of the top,6,The algorithm is doing most of the work so there's little room for error,1,,,,,,,,,,,,,3,The manager selected the top candidates from those the algorithm determined,A set of computer rules that can determine things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,2,4,1,2,3,
7/21/17 9:33,7/21/17 9:38,0,184.46.86.96,100,264,1,7/21/17 9:38,R_A67dOCTg4L4Bs2J,,,,,30.82809448,-91.44860077,anonymous,EN,A3NREOM41QKSID,"1,2",3,6,6,The algorithm is objective and as fair as fair can get.,4,4,5,2,2,1,"He was chosen based on statistics... nothing else, so he shouldn't feel bad about doing it",5,I believe that he would read the algorithm's results and assign people accordingly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,The manager made decisions based on the information that he was given by the algorithm's results.,Statistical measures that help explain certain instances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,1,5,2,2,1,
7/21/17 9:34,7/21/17 9:38,0,66.243.246.181,100,254,1,7/21/17 9:38,R_1hYKzGn7wpHbpWU,,,,,46.97900391,-120.4702988,anonymous,EN,A18U96VTGHOXKM,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,The manager looks at the algorithm and assigns tasks to the maintenance worker. ,"Basically, computer programs that are designed to perform a specific task. ",6,"It isn't his job to monitor the maintenance needed, but he performs the maintenance.",3,2,3,3,3,3,I think he would mostly feel neutral. It is his job to check the machines.,6,"It is programmed to analyze things, and it will likely do it well. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,1,6,1,3,1,
7/21/17 9:34,7/21/17 9:38,0,67.245.217.252,100,248,1,7/21/17 9:38,R_vU1sw3klWLZi2op,,,,,41.74890137,-74.44670105,anonymous,EN,A29A2MQMPJW1O9,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,The algorithm makes the final decision,A computer system to generate the best candidates,,,,,,,,,,,,,,,,,,,,,,,,,5,I seems like a fair method to pick a person,5,5,5,2,5,5,Chris would feel fairly treated on the decision,6,The system seems to work well and is fair to all candidates,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,1,4,1,3,3,
7/21/17 9:34,7/21/17 9:38,0,108.239.174.118,100,262,1,7/21/17 9:38,R_XRje1YaIpteYoKJ,,,,,41.49729919,-81.4713974,anonymous,EN,A1I8DXIL52SU0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer models that combine statistics and data to make a decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,computers can't account for a persons tone of voice,2,2,4,5,6,6,Chris would be frustrated because a computer is judging his performance concerning human interaction,2,"again, computers cannot judge the nuances of human emotion",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,1,5,4,1,4,
7/21/17 9:33,7/21/17 9:38,0,107.77.213.159,100,305,1,7/21/17 9:38,R_24rpmEAm58KcvNT,,,,,37.77349854,-122.278801,anonymous,EN,A1E42RM70ETAU,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,The algorithm assigns tasks. The manager monitors and adjusts the algorithm.,It is a predetermined set of actions to be performed.,5,The manager is able to manipulate the algorithm so it is not entirely fair to Chris.,5,5,6,2,3,4,Chris is happy to do his job.,5,I don't know if Chris' manager is good at his job or fair.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,2,3,1,3,1,
7/21/17 9:34,7/21/17 9:38,0,73.254.83.211,100,244,1,7/21/17 9:38,R_3RrQaNoElKijRu6,,,,,47.51100159,-122.1869965,anonymous,EN,A2QUQ0S2F6K3QJ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Being able to come up with good work times for employees ,Putting in certain stats or numbers to come up with a average or bases for future things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I dont see how the algorithm justifies Chris working in the mornings.,4,2,2,5,2,5,Maybe Chris doesn't want to work only mornings and is upset at having to wake up early etc.,3,I dont see a reason for algorithm in terms of good quality employee scheduling. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,2,1,4,2,
7/21/17 9:34,7/21/17 9:39,0,98.207.170.77,100,288,1,7/21/17 9:39,R_2AHl1cbYaXmI59v,,,,,37.41349792,-122.1311951,anonymous,EN,A3PRR0UOG2C92U,"1,2",3,6,6,The algorithm has no invested interest or personal bias and it doesn't seem like the manager has any other motivation to assign the task to Chris.,4,4,4,2,2,2,"I think that Chris would be okay with the assignment, as it doesn't seem particularly out of the ordinary or terrible.",6,"I think the manager, without knowing too much about him, would have the best interest of his employees and the business at heart.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"The algorithm analyzed the breakdown rate of the components and gave results to the manager, who assigns employees to check up on and fix components accordingly.",A specific formula or process that analyzes a given task or set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,2,5,6,2,1,
7/21/17 9:33,7/21/17 9:39,0,67.174.151.14,100,316,1,7/21/17 9:39,R_3EmcP7ln94JNzUn,,,,,38.47380066,-121.4434052,anonymous,EN,A13FXMMPTZUVRP,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,The algorithm must be producing positive results for the center so it works.,4,4,4,5,5,5,He probably doesn't want to adhere to the algorithm.,6,It is an algorithm the center put into place so it must be trustworthy.,1,3,The algorithm was used by the manager to analyze the workers.,"Algorithms are a set of rules to do something, in this case analyzing performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,2,3,4,2,4,
7/21/17 9:34,7/21/17 9:39,0,52.144.46.62,100,296,1,7/21/17 9:39,R_2UaXEyyjJZ7WExz,,,,,40.71110535,-73.94689941,anonymous,EN,A1VFXUT4WS5VT,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,human ,my mind ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,the fair of theme ,6,5,6,6,5,6,i feel lot,6,i have the thought ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,2,5,5,4,4,
7/21/17 9:34,7/21/17 9:39,0,72.152.71.174,100,285,1,7/21/17 9:39,R_1QuPvR4Uz8s32Mm,,,,,33.5756073,-85.13400269,anonymous,EN,A3L4RJUHA0CJEA,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,5,the algorithm is designed to weed out the bes clients. Its not the best and most accurate method but managers do not always have time to comb through hundreds of resumes,4,3,4,4,3,6,it's frustrating to know that the manager did not actually select him personally,4,the algorithm is set to select ony the best candidates for the position based on the information exported from the resumes,1,,,,,,,,,,,,,3,the algorithm selects the top candidates and the manager interviews the candidates,program that is able to sort data based on your requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,1,3,4,2,3,
7/21/17 9:34,7/21/17 9:39,0,74.139.138.249,100,288,1,7/21/17 9:39,R_yRdHNqOd2Syvbjz,,,,,37.14199829,-84.55840302,anonymous,EN,A2DZW5E52SJ93H,"1,2",3,6,,,,,,,,,,,,,6,The algorithm keeps people from coming in when there is no work for them,4,4,4,3,2,4,I think he would understand why his schedule was the way it was.,5,"The manager knows what he is doing, he mixes his knowledge with the algorithm to make the correct choice.",1,,,,,,,,,,,,,,,,,,,,,,,,,3,"the algorithm looks at availability and need then chooses who should come in, The human looks at the recommendations and makes the final call.",A set of rules ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,2,3,1,2,2,
7/21/17 9:34,7/21/17 9:39,0,71.145.198.107,100,309,1,7/21/17 9:39,R_VJOgX5C80Gmmv9T,,,,,36.83999634,-119.8284988,anonymous,EN,A1DDBGQDMZZ1VW,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,7,How else would you do it? I think it is fair for the manager to analyze the online information.,4,4,4,2,1,3,The statement does not indicate whether or not Chris was selected for an onsite interview. ,5,It is hard to make a decision with that many applicants. ,1,,,,,,,,,,,,,1,53,2,5,1,5,3,
